Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
David Pastrnak,0.5x0.7,0.5sx1.5,,,,4.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.5,0.5x0.7,,,,,,,,0.5sx1.1,0.5x0.85,
Sam Reinhart,0.5x0.75,0.5sx1.25,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.5,0.5x0.7,,,,,,,,0.5sx1.25,0.5x0.8,
Carter Verhaeghe,0.5x0.8,0.5sx1.25,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.2,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx1.5,0.5x0.7,
Matthew Tkachuk,1.5sx1.25,1.5x0.75,,,,3.0x1,,,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.25,0.5x0.8,,,,,,,,0.5sx1.25,0.5x0.75,
Brad Marchand,,,0.5x1,2.5sx1.2,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,,,,,0.5sx2,,
Charlie Coyle,0.5sx1.1,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2.5,,
Vladimir Tarasenko,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.25,,,,,,,,,0.5sx2.25,,
Charlie McAvoy,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3,,,,,,,,,0.5sx5.75,,
James van Riemsdyk,,,,,,1.5x1,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Pavel Zacha,,,0.5x1,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.25,,,,,,,,,0.5sx2.5,,
Evan Rodrigues,0.5sx1.2,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Sam Bennett,,,0.5x1,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,,,,,0.5sx1.75,0.5x0.65,
Jake DeBrusk,0.5sx1.1,0.5x0.9,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx2.25,,
Brandon Montour,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.2,0.5x0.85,,0.5sx2,0.5x0.65,,,,,,,,0.5sx3.5,,
Anton Lundell,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.5,,
Kyle Okposo,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Danton Heinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Trent Frederic,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Justin Brazeau,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Morgan Geekie,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Kevin Stenlund,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Jesper Boqvist,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Eetu Luostarinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Nick Cousins,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Artemi Panarin,1.5sx1.25,1.5x0.75,,3.5sx1.1,3.5x0.85,,,,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.25,0.5x0.75,,,,,,,,0.5sx1.25,0.5x0.8,
Chris Kreider,0.5x0.9,0.5sx1.05,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,,,,,0.5sx1.5,0.5x0.7,
Vincent Trocheck,0.5x0.8,0.5sx1.2,,,,2.5x1,,,,,,,0.5sx1.2,0.5x0.85,,0.5sx2.25,,,,,,,,,0.5sx1.5,0.5x0.7,
Mika Zibanejad,,,0.5x1,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx1.75,0.5x0.65,
Travis Konecny,0.5x0.85,0.5sx1.1,,,,3.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,,,,,0.5sx1.25,0.5x0.75,
Adam Fox,0.5x0.85,0.5sx1.1,,1.5x0.8,1.5sx1.2,,,,,,,,,,0.5x1,0.5sx2,0.5x0.65,,,,,,,,0.5sx3.5,,
Joel Farabee,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.25,,,,,,,,,0.5sx2,,
Owen Tippett,,,0.5x1,3.5sx1.1,3.5x0.85,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx2.75,,,,,,,,,0.5sx1.5,0.5x0.7,
Alexis Lafreniere,0.5sx1.1,0.5x0.85,,,,2.5x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx1.75,0.5x0.65,
Sean Couturier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Travis Sanheim,0.5sx1.2,0.5x0.8,,,,,,,,,,,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx6,,
Jack Roslovic,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx3.25,,
Morgan Frost,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,,,,,0.5sx2.5,,
Tyson Foerster,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4.25,,,,,,,,,0.5sx2,0.5x0.65,
Cam York,0.5sx1.2,0.5x0.8,,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.25,,,,,,,,,0.5sx5.25,,
Scott Laughton,0.5sx1.2,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx2.75,,
Alex Wennberg,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Garnet Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Jimmy Vesey,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Ryan Poehling,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Kaapo Kakko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Noah Cates,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Bobby Brink,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Jonny Brodzinski,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
