Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
David Gustafsson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Alexander Holtz,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Morgan Barron,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Simon Nemec,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,0.5sx6,,
Brendan Smith,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Dylan DeMelo,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Anton Forsberg,,,,,,,,,,,,,,,,,,,,,,,,25.5x1,,,2.5x1
Joel Hofer,,,,,,,,,,,,,,,,,,,,,,,,29.5x1,,,3.0x1
Robert Thomas,0.5x0.7,0.5sx1.5,,,,2.0x1,,,,,,,0.5x0.9,0.5sx1.05,,0.5sx1.5,0.5x0.7,,,,,,,,0.5sx1.5,0.5x0.7,
Tim Stutzle,0.5x0.7,0.5sx1.5,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Claude Giroux,0.5x0.85,0.5sx1.1,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.05,0.5x0.9,,0.5sx2.75,,,,,,,,,0.5sx2,0.5x0.65,
Brady Tkachuk,0.5x0.75,0.5sx1.25,,,,4.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,11.05x1,,,,0.5sx1.2,0.5x0.8,
Pavel Buchnevich,0.5x0.85,0.5sx1.1,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2,0.5x0.65,,,,,,,,0.5sx1.5,0.5x0.7,
Jordan Kyrou,0.5x0.9,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx1.5,0.5x0.7,
Drake Batherson,0.5x0.85,0.5sx1.1,,2.5x0.9,2.5sx1.05,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx1.75,0.5x0.65,
Kevin Hayes,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx2,,,,,,,,,,,,0.5sx3,,
Justin Faulk,0.5sx1.25,0.5x0.8,,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx5.75,,
Thomas Chabot,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,7.05x1,,,,0.5sx3.75,,
Jakob Chychrun,0.5sx1.1,0.5x0.85,,2.5x0.85,2.5sx1.1,,1.5x0.85,1.5sx1.1,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,7.05x1,,,,0.5sx3.5,,
Brayden Schenn,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx2.25,,
Torey Krug,0.5sx1.25,0.5x0.75,,1.5x0.8,1.5sx1.25,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx5.25,,
Jake Sanderson,0.5sx1.1,0.5x0.85,,2.5sx1.2,2.5x0.8,,1.5x0.85,1.5sx1.1,,,,,0.5sx1.25,0.5x0.8,,0.5sx3.25,,,,,,,,,0.5sx4.5,,
Jake Neighbours,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx2,0.5x0.65,,0.5sx2.75,,,,,,,,,0.5sx2,0.5x0.65,
Shane Pinto,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.5,,,,,,,,,0.5sx2,0.5x0.65,
Brandon Saad,,,,,,,,,,,,,,,,0.5sx5,,,,,,,,,0.5sx2.25,,
Kasperi Kapanen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Nathan Walker,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Alexey Toropchenko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Zack Bolduc,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Zach Dean,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Dominik Kubalik,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Mathieu Joseph,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Boris Katchouk,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Parker Kelly,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Mark Kastelic,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Ridly Greig,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Zack Ostapchuk,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Colton Parayko,,,,,,,,,2.5x1,,,,,,,,,,,,,,,,,,
Nick Leddy,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Jeremy Swayman,,,,,,,,,,,,,,,,,,,,,,,,27.5x1,,,2.5x1
Jonathan Quick,,,,,,,,,,,,,,,,,,,,,,,,26.5x1,,,3.0x1
David Pastrnak,1.5sx1.25,1.5x0.75,,,,4.0x1,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,9.55x1,,,,0.5sx1.05,0.5x0.9,
Artemi Panarin,1.5sx1.25,1.5x0.75,,2.5x0.85,2.5sx1.1,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Chris Kreider,0.5x0.85,0.5sx1.1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2,,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Mika Zibanejad,0.5x0.9,0.5sx1.05,,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx1.5,0.5x0.7,
Vincent Trocheck,0.5x0.85,0.5sx1.2,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Brad Marchand,0.5x0.8,0.5sx1.2,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,7.05x1,,,,0.5sx1.75,0.5x0.65,
Adam Fox,,,0.5x1,1.5x0.85,1.5sx1.1,,1.5x0.85,1.5sx1.2,,,,,,,0.5x1,0.5sx2,,,,,,,,,0.5sx4,,
Charlie Coyle,,,0.5x1,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx2.25,,
Charlie McAvoy,0.5sx1.1,0.5x0.9,,,,,,,2.0x1,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,,,,,0.5sx4.75,,
Pavel Zacha,,,0.5x1,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,,,,,0.5sx2.25,,
Alexis Lafreniere,0.5sx1.1,0.5x0.9,,,,2.5x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx1.75,0.5x0.65,
Jake DeBrusk,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2,,
Alex Wennberg,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx3.25,,
Jack Roslovic,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx2.5,,
Danton Heinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Trent Frederic,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Justin Brazeau,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Morgan Geekie,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Jakub Lauko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Kaapo Kakko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Jesper Boqvist,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
John Beecher,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Barclay Goodrow,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Will Cuylle,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Matt Rempe,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Jimmy Vesey,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Andrew Peeke,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
Braden Schneider,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
James Reimer,,,,,,,,,,,,,,,,,,,,,,,,27.5x1,2.5x0.9,2.5sx1.05,
Mathew Barzal,0.5x0.7,0.5sx1.5,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Noah Dobson,0.5x0.9,0.5sx1.05,,2.5sx1.05,2.5x0.9,,,,2.0x1,,,,,,0.5x1,0.5sx2,0.5x0.65,,,,8.55x1,,,,0.5sx3.5,,
Alex DeBrincat,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx1.75,0.5x0.65,
Bo Horvat,0.5x0.8,0.5sx1.25,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2,0.5x0.65,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Brock Nelson,0.5x0.85,0.5sx1.1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.25,0.5x0.75,
Lucas Raymond,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.75,0.5x0.65,
Daniel Sprong,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Kyle Palmieri,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,,,,,0.5sx1.5,0.5x0.7,
Shayne Gostisbehere,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,,,
J.T. Compher,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.25,,,,,,,,,0.5sx2.5,,
David Perron,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.25,,
Patrick Kane,0.5x0.75,0.5sx1.25,,,,3.0x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Anders Lee,0.5sx1.2,0.5x0.8,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx2,,,0.5sx4.25,,,,,,,,,0.5sx2,,
Jean-Gabriel Pageau,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx3.5,,
Moritz Seider,0.5sx1.1,0.5x0.85,,1.5x0.9,1.5sx1.1,,2.5sx1.1,2.5x0.85,,,,,0.5sx1.25,0.5x0.75,,,,,,,7.05x1,,,,0.5sx5.75,,
Pierre Engvall,0.5sx1.2,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.75,,
Cal Clutterbuck,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Andrew Copp,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Ryan Pulock,,,,,,,2.5sx1.2,2.5x0.8,,,,,,,,,,,,,,,,,0.5sx6,,
Robby Fabbri,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Christian Fischer,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Michael Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Kyle MacLean,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Joe Veleno,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Simon Holmstrom,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Matt Martin,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Casey Cizikas,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Mike Reilly,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
Frederik Andersen,,,,,,,,,,,,,,,,,,,,,,,,24.5x1,,,2.0x1
Samuel Ersson,,,,,,,,,,,,,,,,,,,,,,,,27.5x1,,,3.0x1
Sebastian Aho,0.5x0.8,0.5sx1.25,,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx1.25,0.5x0.75,
Travis Konecny,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Jake Guentzel,0.5x0.75,0.5sx1.25,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.75,0.5x0.65,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Seth Jarvis,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.5,0.5x0.7,
Martin Necas,0.5x0.85,0.5sx1.1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3.5,,,,,,,,,0.5sx1.5,0.5x0.7,
Joel Farabee,0.5sx1.1,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx2.25,,
Teuvo Teravainen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Owen Tippett,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx2.5,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Andrei Svechnikov,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Brent Burns,0.5sx1.25,0.5x0.8,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx4,,
Evgeny Kuznetsov,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx4,,,,,,,,,0.5sx2.75,,
Brady Skjei,0.5sx1.25,0.5x0.8,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx5,,,,,,,,,0.5sx4.75,,
Scott Laughton,0.5sx1.2,0.5x0.8,,,,1.5x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.75,,
Travis Sanheim,0.5sx1.25,0.5x0.8,,,,,,,2.5x1,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx6,,
Morgan Frost,0.5sx1.25,0.5x0.8,,,,1.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx2.5,,
Tyson Foerster,0.5sx1.25,0.5x0.8,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx2,0.5x0.65,,0.5sx4,,,,,,,,,0.5sx2.25,,
Ryan Poehling,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Noah Cates,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Olle Lycksell,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Jordan Staal,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Stefan Noesen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Jordan Martinook,,,,1.5x0.9,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Jesperi Kotkaniemi,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Cam York,,,,,,,,,2.5x1,,,,,,,0.5sx3.5,,,,,,,,,0.5sx6,,
Bobby Brink,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Garnet Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Brendan Lemieux,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Brett Pesce,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Jaccob Slavin,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
Carter Verhaeghe,,,,,,,,,,,,,,,,,,,,,7.55x1,,,,,,
Sam Reinhart,,,,,,,,,,,,,,,,,,,,,8.05x1,,,,,,
Roman Josi,0.5x0.9,0.5sx1.05,,,,3.0x1,1.5x0.8,1.5sx1.25,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.75,0.5x0.65,,,,8.05x1,,,,0.5sx2.75,,
Filip Forsberg,0.5x0.8,0.5sx1.2,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.75,0.5x0.65,,,,8.55x1,,,,0.5sx1.25,0.5x0.8,
Aleksander Barkov,,,,,,,,,,,,,,,,,,,,,8.55x1,,,,,,
Ryan O'Reilly,,,0.5x1,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx2,0.5x0.65,
Gustav Nyquist,,,0.5x1,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,,,,,0.5sx2.25,,
Tommy Novak,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx2.5,,
Jason Zucker,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Luke Evangelista,0.5sx1.25,0.5x0.8,,1.5x0.8,1.5sx1.25,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx2.5,,
Anthony Beauvillier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Mark Jankowski,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Kiefer Sherwood,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Cole Smith,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Michael McCarron,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Colton Sissons,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Tyson Barrie,,,,,,,,,,,,,,,,0.5sx5,,,,,,,,,,,
Ryan McDonagh,,,,,,,2.5sx1.2,2.5x0.8,,,,,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
Stuart Skinner,,,,,,,,,,,,,,,,,,,,,,,,25.5x1,2.5sx1.1,2.5x0.85,
Connor McDavid,,,1.5x1,,,3.5x1,,,,,,,1.5sx1.25,1.5x0.75,,,,0.5x1,,,10.55x1,,,,0.5sx1.1,0.5x0.85,
Leon Draisaitl,1.5sx1.25,1.5x0.8,,2.5x0.85,2.5sx1.1,,,,,,,,0.5x0.9,0.5sx1.1,,0.5sx1.25,0.5x0.8,,,,8.05x1,,,,0.5sx1.2,0.5x0.8,
Evan Bouchard,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx2.75,,
Ryan Nugent-Hopkins,0.5x0.85,0.5sx1.1,,,,2.0x1,,,,,,,0.5sx1.1,0.5x0.9,,0.5sx1.75,0.5x0.65,,,,,,,,0.5sx2.25,,
Zach Hyman,0.5x0.75,0.5sx1.25,,3.5sx1.1,3.5x0.9,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx1.75,0.5x0.65,,,,8.55x1,,,,0.5sx1.1,0.5x0.85,
Rasmus Dahlin,0.5x0.9,0.5sx1.05,,2.5sx1.1,2.5x0.85,,,,2.0x1,,,,,,0.5x1,0.5sx2,0.5x0.65,,,,8.55x1,,,,0.5sx3.5,,
Adam Henrique,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx3,,
Alex Tuch,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3,,,,,,,,,0.5sx1.75,0.5x0.65,
JJ Peterka,0.5sx1.25,0.5x0.8,,,,2.0x1,,,,,,,0.5sx2,,,0.5sx5,,,,,,,,,0.5sx2.5,,
Evander Kane,0.5sx1.1,0.5x0.85,,,,2.5x1,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2,,
Jeff Skinner,0.5sx1.2,0.5x0.8,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx2,0.5x0.65,,0.5sx3.5,,,,,,,,,0.5sx2.25,,
Dylan Cozens,,,0.5x1,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx2,,
Tage Thompson,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,7.05x1,,,,0.5sx1.75,0.5x0.65,
Bowen Byram,0.5sx1.25,0.5x0.75,,,,,,,1.5x1,,,,0.5sx1.75,0.5x0.65,,0.5sx4.75,,,,,,,,,0.5sx4.5,,
Darnell Nurse,,,,,,2.0x1,,,2.0x1,,,,,,,,,,,,,,,,0.5sx6,,
Owen Power,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.25,,,,,,,,,,,
Sam Carrick,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Zemgus Girgensons,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Mattias Janmark,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Warren Foegele,,,,2.5sx1.2,2.5x0.8,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Jordan Greenway,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Victor Olofsson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Ryan McLeod,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Connor Brown,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Eric Robinson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Zach Benson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Corey Perry,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Peyton Krebs,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
J.T. Miller,1.5sx1.5,1.5x0.7,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,9.05x1,,,,0.5sx1.25,0.5x0.75,
