Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Igor Shesterkin,,,,,,,,,,,,,,,,,,,,,13.55x1,,,27.5x1,2.5sx1.1,2.5x0.9,
Elvis Merzlikins,,,,,,,,,,,,,,,,,,,,,,,,28.5x1,3.5sx1.1,3.5x0.9,
Artemi Panarin,1.5sx1.1,1.5x0.85,,3.5sx1.05,3.5x0.9,,,,,,,,0.5x0.8,0.5sx1.25,,0.5sx1.1,0.5x0.85,,,,9.05x1,,,,0.5sx1.25,0.5x0.8,
Chris Kreider,0.5x0.75,0.5sx1.25,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.5,0.5x0.7,,,,8.55x1,,,,0.5sx1.25,0.5x0.8,
Vincent Trocheck,1.5sx1.5,1.5x0.7,,,,3.0x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,9.55x1,,,,0.5sx1.25,0.5x0.75,
Mika Zibanejad,0.5x0.75,0.5sx1.25,,2.5x0.85,2.5sx1.1,,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,8.05x1,,,,0.5sx1.25,0.5x0.75,
Adam Fox,0.5x0.85,0.5sx1.2,,1.5x0.8,1.5sx1.2,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.05x1,,,,0.5sx3.75,,
Johnny Gaudreau,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2,0.5x0.65,,,,5.55x1,,,,0.5sx2,,
Alexis Lafreniere,,,0.5x1,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,6.55x1,,,,0.5sx1.5,0.5x0.7,
Boone Jenner,,,0.5x1,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Kirill Marchenko,0.5sx1.1,0.5x0.85,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx3.5,,,,,6.05x1,,,,0.5sx2,0.5x0.65,
Jacob Trouba,,,,1.5x0.85,1.5sx1.1,,2.5sx1.2,2.5x0.8,,,,,,,,,,,,,,,,,,,
Ivan Provorov,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,,,
Zach Werenski,,,0.5x1,,,2.5x1,1.5x0.8,1.5sx1.2,,,,,0.5sx1.2,0.5x0.85,,0.5sx2.25,,,,,7.05x1,,,,0.5sx3.75,,
Jack Roslovic,0.5sx1.1,0.5x0.85,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx2.75,,
Yegor Chinakhov,0.5sx1.25,0.5x0.8,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx2.25,,,0.5sx4.25,,,,,,,,,0.5sx2.25,,
Dmitri Voronkov,0.5sx1.25,0.5x0.8,,1.5x0.8,1.5sx1.25,,,,,,,,0.5sx2,,,0.5sx4.25,,,,,,,,,0.5sx2,,
Barclay Goodrow,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Jimmy Vesey,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Alex Nylander,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Jonny Brodzinski,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Sean Kuraly,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
Kaapo Kakko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.25,,
Adam Edstrom,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Will Cuylle,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Kent Johnson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Cole Sillinger,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Justin Danforth,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5,,
Matt Rempe,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Mathieu Olivier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Adam Boqvist,,,,,,,,,,,,,,,,0.5sx4.25,,,,,,,,,,,
Erik Gudbranson,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Jordan Binnington,,,,,,,,,,,,,,,,,,,,,,,,30.5x1,,,3.5x1
Stuart Skinner,,,,,,,,,,,,,,,,,,,,,12.05x1,,,24.5x1,2.5sx1.1,2.5x0.85,
Connor McDavid,,,1.5x1,,,3.5x1,,,,,,,0.5x0.7,0.5sx1.5,,0.5sx1.1,0.5x0.9,,,,,,,,,,0.5x1
Leon Draisaitl,1.5sx1.1,1.5x0.85,,2.5x0.85,2.5sx1.1,,,,,,,,0.5x0.85,0.5sx1.2,,0.5sx1.1,0.5x0.85,,,,8.55x1,,,,0.5sx1.1,0.5x0.9,
Robert Thomas,0.5x0.85,0.5sx1.1,,,,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,0.5x0.65,,,,,,,,0.5sx2.25,,
Evan Bouchard,0.5x0.85,0.5sx1.2,,,,2.5x1,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx2.25,,
Zach Hyman,0.5x0.75,0.5sx1.25,,,,3.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.5,0.5x0.7,,,,9.05x1,,,,0.5sx1.1,0.5x0.9,
Ryan Nugent-Hopkins,0.5x0.75,0.5sx1.25,,2.5sx1.1,2.5x0.85,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.05x1,,,,0.5sx1.75,0.5x0.65,
Jordan Kyrou,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.25,,,,,6.05x1,,,,0.5sx1.5,0.5x0.7,
Pavel Buchnevich,,,0.5x1,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,5.55x1,,,,0.5sx1.5,0.5x0.7,
Evander Kane,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.5,,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Kevin Hayes,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx2,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx3.25,,
Justin Faulk,,,,1.5x0.8,1.5sx1.2,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Darnell Nurse,,,,,,2.0x1,,,2.0x1,,,,,,,,,,,,6.05x1,,,,0.5sx5,,
Brayden Schenn,0.5sx1.05,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,,,,,0.5sx2.5,,
Jake Neighbours,0.5sx1.25,0.5x0.8,,,,,,,,,,,0.5sx2.25,,,0.5sx3.75,,,,,,,,,0.5sx2.25,,
Corey Perry,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Mattias Ekholm,,,,1.5x0.8,1.5sx1.25,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Brandon Saad,,,,,,,,,,,,,,,,0.5sx4.5,,,,,,,,,0.5sx2.5,,
Torey Krug,,,,1.5x0.8,1.5sx1.2,,,,,,,,,,,0.5sx3.25,,,,,,,,,0.5sx5.75,,
Oskar Sundqvist,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Connor Brown,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Mattias Janmark,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Derek Ryan,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Nathan Walker,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Warren Foegele,,,,,,2.5x1,,,,,,,,,,,,,,,,,,,0.5sx2,0.5x0.65,
Alexey Toropchenko,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Ryan McLeod,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Dylan Holloway,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Zack Bolduc,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Nick Leddy,,,,,,,1.5x0.9,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Colton Parayko,,,,,,,,,2.5x1,,,,,,,,,,,,,,,,,,
